WWR-NS,WWR-EW,ShadeDepth,SHGC,VLT,ExWall,EUI (kWh/m2),ELECp (W/m2),CLGp (W/m2),Daylight Autonomy,Excessive Daylight,OT26% - Patient North,OT26% - Patient South,img,EUI Saved(-)Wasted(+),REF_ELECp,REF_CLGp,REF_DA,REF_ExcDA
40,60,600,0.34,0.42,1.4,126.35,22.54,49.55,56.23,1.61,3.64,2.36,WWR-NS1_WWR-EW2_ShadeDepth2_SHGCVLT1_ExWall0.png,0.24,1.12,1.06,15.58,-57.18
60,60,600,0.34,0.42,1.4,132.38,24.22,54.22,75.56,3.15,17.18,8,WWR-NS2_WWR-EW2_ShadeDepth2_SHGCVLT1_ExWall0.png,5.02,8.66,10.59,-13.44,-16.22
80,60,600,0.34,0.42,1.4,140.16,26.19,59.79,82.92,5.19,29.14,14.35,WWR-NS3_WWR-EW2_ShadeDepth2_SHGCVLT1_ExWall0.png,11.19,17.50,21.95,-24.49,38.03
20,80,600,0.34,0.42,1.4,122.08,21.33,46.3,33.74,1.36,0,0,WWR-NS0_WWR-EW3_ShadeDepth2_SHGCVLT1_ExWall0.png,-3.15,-4.31,-5.57,49.35,-63.83
40,80,600,0.34,0.42,1.4,127.63,22.85,50.42,59.68,1.91,3.6,2.47,WWR-NS1_WWR-EW3_ShadeDepth2_SHGCVLT1_ExWall0.png,1.25,2.51,2.83,10.40,-49.20
60,80,600,0.34,0.42,1.4,133.62,24.57,55.12,78.03,3.47,17.24,8.32,WWR-NS2_WWR-EW3_ShadeDepth2_SHGCVLT1_ExWall0.png,6.01,10.23,12.42,-17.14,-7.71
80,80,600,0.34,0.42,1.4,141.23,26.41,60.43,85.17,5.52,29.17,14.55,WWR-NS3_WWR-EW3_ShadeDepth2_SHGCVLT1_ExWall0.png,12.04,18.48,23.25,-27.86,46.81
20,20,900,0.34,0.42,1.4,118.06,20.28,43.26,18.54,0.56,0,0,WWR-NS0_WWR-EW0_ShadeDepth3_SHGCVLT1_ExWall0.png,-6.34,-9.02,-11.77,72.17,-85.11
40,20,900,0.34,0.42,1.4,122.6,21.49,46.57,46.65,0.85,1.64,1.44,WWR-NS1_WWR-EW0_ShadeDepth3_SHGCVLT1_ExWall0.png,-2.74,-3.59,-5.02,29.97,-77.39
60,20,900,0.34,0.42,1.4,128.36,23.23,51.81,68.78,2.09,12.31,6.05,WWR-NS2_WWR-EW0_ShadeDepth3_SHGCVLT1_ExWall0.png,1.83,4.22,5.67,-3.26,-44.41
